KO_ID,Gene,u_halleri
K01587,,3
K02318,,0
K02604,,95
K02684,,0
K03135,,2
K03848,,1
K04449,,60
K04836,,0
K05869,,0
K06130,,0
K06316,,0
K06623,,0
K06812,,0
K06961,,0
K07998,,0
K08230,,99
K08492,,0
K08683,,0
K09140,,18
K09850,,1
K10301,,1
K10498,,1
K10574,,0
K11087,,1
K11173,,109
K12030,,0
K12558,,0
K12758,,0
K12849,,2
K13221,,125
K13800,,149
K14242,,4
K14846,,3
K15180,,80
K15285,,0
K15340,,1
K15698,,0
K00020,,94
K00214,,83
K00341,,345
K01443,,100
K01758,,215
K03358,,0
K04708,,0
K04882,,0
K04984,,0
K05095,,0
K05402,,0
K05658,,9
K05736,,1
K06624,,0
K06643,,9
K07304,,146
K07416,,0
K07884,,0
K08535,,1
K08821,,1
K08991,,2
K09548,,5
K10031,,2
K10500,,3
K10570,,1
K10606,,0
K10887,,0
K11147,,1
K11468,,0
K11833,,81
K11851,,0
K12020,,0
K12374,,0
K12482,,0
K13104,,0
K13106,,11
K13133,,0
K13164,,0
K13188,,0
K13443,,3
K14016,,3
K14307,,1
K14325,,4
K14713,,5
K15438,,0
K15612,,0
K00108,,0
K00344,,428
K00650,,0
K02135,,0
K02152,,4
K02602,,1
K03351,,1
K04633,,0
K04667,,9
K04794,,91
K04916,,0
K05810,,86
K05864,,4
K07194,,67
K07608,,0
K07920,,0
K08465,,1
K09415,,131
K10049,,0
K10214,,58
K10273,,0
K10873,,0
K11111,,1
K11313,,1
K11539,,0
K11687,,0
K12325,,0
K12490,,4
K13110,,24
K13131,,98
K13168,,1
K13297,,0
K14011,,1
K14353,,92
K14686,,0
K14809,,23
K15119,,2
K15148,,0
K15235,,7
K15263,,3
K15276,,2
K15300,,90
K01082,,77
K01204,,0
K01291,,0
K01594,,1
K01724,,1
K02376,,2
K02469,,560
K03256,,0
K03469,,78
K04396,,0
K04602,,0
K04877,,0
K04919,,0
K05448,,6
K05496,,0
K05527,,0
K05680,,0
K06232,,0
K06586,,66
K06848,,0
K08064,,0
K08734,,171
K08772,,3
K09267,,0
K09420,,0
K09453,,0
K09549,,2
K09699,,1
K10065,,0
K10402,,5
K10458,,40
K10627,,0
K10838,,1
K11205,,85
K11415,,0
K12795,,2
K13121,,1
K13136,,4
K14299,,1
K14553,,2
K15446,,0
K15901,,1
K00272,,0
K00308,,1
K00328,,103
K00555,,2
K00791,,61
K00804,,0
K00864,,208
K00974,,1
K01772,,178
K01881,,85
K01908,,381
K02035,,1301
K02607,,0
K03088,,228
K03139,,1
K03947,,3
K03957,,1
K03993,,0
K04699,,0
K04936,,0
K04955,,0
K05302,,0
K05615,,1
K05616,,0
K05720,,1
K06201,,0
K08009,,1
K08339,,105
K08746,,83
K09315,,0
K09522,,2
K09528,,3
K10152,,1
K10904,,1
K12191,,2
K12419,,0
K12759,,116
K13125,,1
K13127,,2
K14380,,1
K14715,,2
K15128,,83
K15208,,2
K15277,,0
K15485,,1
K00474,,0
K00666,,110
K01135,,0
K01164,,0
K01192,,221
K01374,,0
K02310,,182
K03109,,1
K03173,,96
K03174,,3
K03917,,0
K03983,,0
K04001,,10
K04594,,107
K04848,,0
K05455,,1
K05666,,4
K05673,,1
K05925,,151
K06674,,1
K07210,,0
K07437,,0
K07442,,252
K07588,,111
K07841,,0
K08568,,67
K08775,,0
K09053,,0
K09131,,166
K09511,,0
K09586,,4
K10135,,1
K10507,,0
K10585,,5
K10647,,0
K10652,,0
K10896,,0
K11151,,0
K11374,,3
K11405,,0
K11436,,127
K11670,,5
K13176,,3
K13505,,1
K13594,,89
K14559,,0
K15043,,4
K15279,,0
K00364,,2
K00605,,61
K00722,,0
K00752,,3
K00858,,1
K01139,,21
K01191,,1
K01304,,0
K01837,,0
K02027,,769
K03847,,0
K04608,,0
K04797,,2
K05405,,15
K06697,,12
K06911,,40
K07196,,1
K07299,,0
K07439,,0
K07553,,0
K07562,,3
K07820,,0
K07883,,0
K07912,,0
K08184,,0
K08851,,0
K09341,,0
K09565,,126
K09656,,0
K10077,,0
K10261,,46
K10397,,160
K11092,,1
K11153,,0
K11170,,0
K11409,,0
K12015,,88
K12362,,3
K12402,,0
K12592,,32
K12870,,0
K13216,,0
K13345,,0
K13567,,0
K13616,,85
K14395,,0
K14779,,104
K14831,,1
K14848,,193
K14990,,2
K15254,,0
K15379,,97
K01519,,101
K03141,,1
K03845,,2
K04004,,0
K04304,,98
K04554,,3
K04579,,0
K04595,,0
K04803,,0
K05970,,1
K06737,,0
K06889,,1
K07193,,113
K07597,,1
K08594,,528
K09091,,0
K09550,,0
K09679,,0
K10157,,0
K10513,,1
K10849,,4
K10891,,1
K11875,,80
K11877,,0
K12170,,0
K12504,,0
K12587,,1
K12845,,4
K14549,,0
K14767,,2
K14795,,63
K14830,,103
K15053,,0
K15127,,0
K15142,,0
K15290,,0
K15407,,0
K15443,,0
K15631,,3
K00314,,270
K00734,,0
K00772,,31
K00846,,0
K01166,,2
K02271,,2
K03002,,3
K03372,,2
K03466,,737
K03766,,0
K04137,,0
K04422,,0
K04969,,0
K06711,,0
K06732,,0
K07373,,0
K07401,,0
K07969,,0
K08202,,0
K08608,,0
K09069,,0
K10162,,0
K10837,,0
K11830,,0
K11856,,0
K12610,,2
K12653,,1
K12655,,1
K13122,,70
K13205,,0
K13278,,0
K13352,,1
K13986,,87
K14396,,2
K14688,,0
K14765,,1
K15085,,0
K15120,,19
K15283,,0
K15544,,95
K15627,,2
K15685,,0
K00408,,0
K00586,,0
K00863,,1
K01025,,126
K01514,,0
K01520,,116
K02561,,0
K03007,,0
K03137,,1
K03580,,1177
K04399,,0
K05018,,0
K05094,,0
K05130,,2
K05221,,0
K06764,,0
K06796,,1
K07977,,79
K08171,,0
K08439,,0
K08592,,1
K09142,,0
K10417,,0
K10898,,0
K11091,,0
K11136,,4
K11346,,1
K11515,,0
K12652,,0
K12664,,0
K12834,,0
K12859,,3
K12900,,4
K13699,,1
K14394,,1
K14844,,4
K15189,,63
K15280,,0
K15522,,0
K15707,,0
K00509,,6
K01068,,1
K01077,,37
K01640,,5
K03015,,0
K03323,,0
K03371,,0
K03374,,0
K03639,,197
K03967,,1
K04277,,96
K04596,,0
K04733,,2
K05001,,0
K05104,,1
K05155,,81
K05215,,0
K05675,,0
K05704,,0
K05706,,1
K06228,,0
K06664,,98
K06852,,0
K07023,,0
K07427,,0
K07554,,0
K07875,,3
K08104,,0
K08614,,1
K08856,,0
K09515,,1
K09653,,0
K09663,,2
K09993,,0
K10471,,0
K10504,,0
K10884,,0
K11988,,0
K12028,,0
K12321,,0
K13206,,2
K13248,,1
K13341,,0
K13421,,3
K14319,,3
K14806,,0
K14856,,72
K15274,,0
K00720,,1
K01273,,278
K01590,,0
K01930,,1
K01940,,6
K02014,,1072
K02365,,0
K03017,,87
K03136,,1
K03344,,0
K03960,,5
K04417,,14
K04683,,2
K04735,,3
K04865,,0
K06712,,98
K06804,,0
K06997,,81
K07055,,0
K07915,,1
K08360,,0
K08507,,1
K08536,,0
K09534,,1
K10158,,0
K10398,,2
K10511,,0
K10687,,13
K10847,,0
K11298,,3
K11341,,0
K11831,,2
K11885,,2
K12611,,0
K12749,,0
K13144,,1
K14545,,3
K14552,,104
K14561,,1
K14725,,0
K14849,,5
K15084,,53
K15146,,2
K15380,,0
K15439,,1
K00297,,179
K01245,,3
K01330,,15
K02202,,100
K03504,,0
K03754,,106
K03914,,0
K04217,,0
K04291,,0
K04292,,0
K04376,,1
K04451,,89
K05206,,0
K05868,,2
K07844,,0
K07865,,104
K07901,,0
K07921,,94
K07949,,0
K07997,,1
K08006,,0
K08374,,0
K08449,,0
K08657,,104
K09301,,0
K09368,,0
K09555,,3
K10483,,0
K10502,,0
K10522,,1
K10842,,27
K10899,,2
K11455,,1
K11589,,1
K12012,,0
K12047,,0
K12188,,1
K13135,,1
K13369,,63
K13511,,0
K13712,,0
K13958,,1
K14308,,0
K14320,,1
K15027,,1
K00207,,0
K00248,,16
K00773,,87
K02335,,33
K02605,,0
K03155,,2
K03345,,77
K03792,,1
K03882,,10
K03926,,61
K03937,,198
K03968,,1
K04272,,0
K04495,,70
K04798,,0
K04957,,0
K05106,,0
K05167,,0
K05294,,0
K05646,,0
K05995,,0
K06557,,0
K06696,,108
K06806,,0
K06875,,1
K07900,,0
K07935,,0
K08014,,0
K08845,,63
K09071,,0
K09294,,0
K09295,,3
K09505,,2
K09881,,0
K10093,,2
K10493,,0
K10666,,147
K10744,,9
K10751,,0
K11126,,1
K11162,,0
K11656,,2
K11672,,0
K11778,,0
K11799,,0
K11887,,0
K12000,,0
K12597,,1
K13175,,3
K13502,,1
K13751,,1
K13814,,0
K13823,,159
K14399,,107
K14406,,82
K14720,,1
K14773,,1
K14963,,4
K15041,,3
K15050,,0
K15193,,0
K15455,,1
K00071,,0
K00683,,1
K00779,,0
K00852,,117
K01393,,4
K02003,,338
K03175,,5
K03353,,2
K03665,,2
K03868,,0
K03948,,1
K03949,,6
K04492,,0
K04585,,0
K04723,,0
K04828,,0
K04867,,0
K04943,,124
K05544,,122
K05609,,3
K05656,,54
K06170,,0
K06247,,0
K06576,,0
K06587,,0
K06620,,2
K06838,,0
K06963,,0
K07191,,0
K08577,,0
K09435,,0
K09521,,1
K10473,,0
K10519,,2
K11096,,2
K11865,,2
K11975,,0
K12298,,0
K12584,,0
K12733,,1
K13303,,0
K13758,,0
K13785,,26
K14216,,0
K14354,,1
K14404,,1
K14440,,0
K15590,,0
K00239,,5
K00869,,0
K00999,,1
K01046,,101
K01059,,307
K01518,,1
K01785,,2
K02209,,1
K02258,,75
K02917,,10
K03004,,84
K03016,,151
K03143,,0
K03460,,0
K03655,,195
K03701,,756
K04042,,248
K04264,,0
K04306,,0
K04587,,0
K05210,,0
K05738,,6
K06632,,101
K06702,,0
K07616,,0
K07754,,0
K07876,,0
K07930,,1
K07951,,0
K08846,,7
K08862,,1
K09109,,0
K09364,,0
K09366,,0
K10028,,4
K10085,,0
K10265,,0
K10347,,1
K10406,,0
K10508,,1
K10738,,0
K10739,,1
K10894,,0
K11508,,0
K11864,,198
K12013,,0
K12043,,0
K12492,,2
K12590,,0
K12792,,1
K13051,,19
K13237,,0
K14305,,84
K14724,,0
K14851,,4
K15032,,2
K15143,,5
K15447,,0
K00552,,0
K01301,,0
K01669,,0
K01796,,1
K01934,,5
K03296,,265
K03593,,5
K03652,,13
K03676,,7
K03679,,0
K04504,,43
K04597,,0
K04813,,0
K05204,,0
K05453,,12
K05617,,0
K06471,,92
K06566,,3
K07071,,155
K07573,,0
K07892,,0
K08048,,0
K08189,,0
K08371,,64
K08438,,0
K08526,,0
K09176,,0
K09537,,0
K10325,,0
K10475,,0
K10517,,80
K10640,,0
K10667,,1
K11095,,4
K11460,,1
K11489,,0
K11806,,3
K11977,,69
K11981,,89
K12328,,88
K12359,,103
K12650,,0
K14610,,0
K14649,,0
K14687,,0
K14774,,1
K14965,,0
K15282,,0
K15302,,0
K15680,,6
K00281,,358
K00645,,169
K00854,,82
K01131,,0
K01205,,0
K01253,,1
K01710,,121
K01749,,170
K01764,,1
K01988,,0
K02214,,0
K02308,,3
K02861,,0
K03529,,129
K03843,,1
K03946,,1
K03951,,1
K04261,,0
K04310,,0
K04347,,2
K04845,,0
K04872,,0
K04914,,0
K04929,,0
K04967,,0
K05057,,2
K05283,,0
K05733,,1
K06800,,107
K06874,,0
K07413,,0
K07560,,0
K07609,,7
K07855,,0
K07913,,0
K07919,,0
K08336,,0
K08830,,0
K09087,,0
K09219,,2
K09232,,0
K09849,,0
K10100,,1
K10153,,1
K10249,,0
K10329,,0
K10403,,0
K10895,,2
K11791,,0
K12166,,1
K12306,,0
K12737,,0
K12832,,1
K13113,,2
K14566,,0
K14568,,0
K14609,,0
K14643,,1
K14776,,201
K14947,,0
K15129,,1
K15169,,1
K15284,,0
K00560,,239
K00790,,314
K00904,,0
K00942,,215
K01307,,0
K01583,,0
K02495,,53
K02800,,0
K02886,,7
K03040,,124
K03105,,1
K03526,,0
K03956,,1
K03959,,0
K04138,,0
K04245,,0
K04607,,0
K04672,,0
K04857,,0
K04891,,0
K05119,,0
K05293,,1
K05606,,1
K05657,,230
K06631,,1
K06980,,101
K07202,,0
K07917,,0
K07976,,93
K08124,,132
K08877,,0
K09037,,1
K09052,,0
K09455,,0
K09546,,0
K09643,,0
K10175,,77
K10886,,0
K10903,,0
K11221,,0
K11538,,90
K12337,,0
K12408,,0
K12857,,141
K12883,,0
K13566,,1
K13769,,0
K13907,,0
K14321,,1
K14634,,0
K14793,,0
K14815,,0
K15286,,21
K15324,,0
K15602,,0
K15605,,2
K00228,,91
K00451,,0
K00543,,87
K00764,,421
K01022,,0
K01201,,5
K02029,,168
K02034,,458
K02089,,3
K02346,,194
K02470,,104
K03310,,1
K03575,,126
K03901,,4
K04717,,0
K04827,,0
K04876,,0
K04920,,0
K04975,,0
K05360,,0
K06147,,926
K06577,,0
K06830,,15
K07390,,0
K07809,,0
K07952,,0
K08367,,2
K08399,,0
K08446,,0
K08561,,0
K09183,,0
K09332,,0
K10095,,0
K10516,,0
K10659,,0
K10770,,0
K10870,,77
K10882,,0
K11097,,12
K11273,,0
K11315,,0
K11465,,97
K11992,,0
K12593,,1
K12621,,0
K13142,,93
K13624,,10
K14425,,211
K14548,,3
K14768,,92
K14775,,6
K15108,,0
K15115,,1
K15141,,4
K15432,,2
K15637,,0
K15691,,0
K00014,,105
K00275,,0
K00965,,0
K01006,,335
K01476,,0
K01580,,0
K01703,,204
K02025,,326
K02257,,0
K02582,,0
K02838,,0
K03043,,544
K03084,,1
K03123,,106
K03537,,0
K03678,,6
K03702,,208
K03723,,427
K03728,,0
K03730,,1
K04620,,0
K04966,,0
K05212,,0
K05520,,62
K05872,,61
K07211,,0
K07765,,1
K07840,,0
K08073,,0
K08077,,0
K08829,,0
K09278,,91
K09516,,1
K10103,,0
K10319,,0
K10950,,1
K11110,,71
K11433,,0
K11488,,2
K11878,,0
K12647,,1
K12649,,0
K12651,,0
K13156,,0
K13353,,1
K13354,,1
K13444,,0
K13865,,0
K14523,,3
K14837,,0
K14852,,0
K15149,,0
K15213,,1
K15370,,0
K15596,,0
K00069,,0
K00163,,486
K00729,,174
K01187,,352
K01296,,0
K01626,,98
K01922,,206
K02016,,206
K02033,,642
K02158,,2
K02333,,102
K03072,,0
K03681,,0
K04197,,0
K04409,,2
K04701,,0
K04868,,0
K04933,,0
K04948,,0
K05217,,0
K05232,,1
K05644,,0
K05753,,0
K06099,,8
K06688,,1
K07646,,300
K07828,,48
K07839,,0
K07898,,0
K07947,,0
K08616,,0
K09253,,1
K09375,,0
K09405,,0
K10335,,11
K10371,,0
K11128,,0
K11129,,5
K11343,,1
K12669,,0
K13350,,0
K14195,,0
K14819,,2
K15117,,0
K15371,,639
K15430,,0
K15456,,2
K15900,,1
K00116,,0
K00331,,170
K00798,,173
K01079,,2
K01517,,2
K01598,,0
K01800,,3
K02311,,0
K02326,,1
K03596,,78
K03871,,1
K03910,,0
K04157,,0
K04411,,94
K04535,,0
K04590,,0
K04852,,0
K04862,,0
K04870,,0
K04963,,0
K05002,,0
K05107,,14
K05123,,2
K05198,,5
K05284,,1
K05543,,0
K06066,,3
K06572,,0
K06996,,0
K07426,,0
K07565,,0
K07612,,0
K07852,,0
K07934,,1
K08059,,174
K08431,,0
K08771,,0
K09108,,1
K09371,,0
K09381,,89
K09383,,0
K09648,,0
K09660,,0
K09876,,0
K09880,,0
K10140,,0
K10411,,0
K10658,,0
K10801,,91
K11099,,2
K11135,,1
K11368,,1
K11416,,0
K11498,,1
K11846,,15
K12251,,41
K12403,,0
K13151,,0
K13539,,0
K13717,,1
K14386,,1
K14529,,0
K15033,,1
K15078,,0
K15382,,0
K15528,,0
K15616,,0
K00008,,0
K00139,,19
K00315,,0
K00343,,96
K00569,,116
K00715,,0
K01044,,1
K01064,,0
K01127,,0
K01441,,0
K01512,,0
K01649,,245
K01832,,0
K02057,,273
K02187,,0
K02337,,269
K02483,,301
K02876,,72
K02945,,207
K03005,,0
K03601,,169
K03624,,78
K03657,,600
K04167,,0
K04912,,0
K05190,,0
K05498,,0
K06129,,93
K06134,,1
K06207,,386
K06505,,3
K06555,,0
K06807,,0
K07541,,0
K07583,,0
K07918,,3
K08584,,0
K09032,,0
K09320,,0
K09436,,54
K09567,,0
K09651,,0
K09652,,2
K09658,,0
K10282,,0
K10289,,1
K10391,,0
K10742,,0
K11086,,0
K11108,,3
K11271,,1
K11487,,0
K11499,,4
K12162,,0
K12189,,21
K12656,,99
K13150,,0
K13346,,0
K13578,,1
K13696,,0
K13700,,1
K13748,,0
K13781,,188
K14314,,0
K14689,,0
K14722,,0
K14863,,0
K15153,,0
K15212,,0
K15266,,0
K15688,,0
K15743,,0
K00135,,97
K00265,,466
K00452,,0
K00529,,97
K00648,,402
K00774,,22
K01124,,0
K01153,,87
K01487,,95
K01620,,271
K01999,,314
K02026,,521
K02049,,0
K02341,,186
K02427,,149
K03012,,0
K03024,,0
K03025,,0
K03046,,923
K03168,,215
K03650,,309
K03783,,6
K03849,,1
K03861,,0
K04149,,0
K04205,,0
K04216,,0
K04275,,0
K04350,,0
K04890,,0
K04909,,0
K05214,,0
K05620,,0
K05669,,0
K06464,,1
K06476,,0
K06641,,0
K06774,,0
K06814,,0
K07232,,101
K07418,,0
K07556,,0
K07916,,0
K07944,,8
K08071,,0
K08144,,0
K08148,,0
K08496,,56
K08497,,0
K08546,,0
K08626,,1
K08664,,0
K08742,,0
K09257,,0
K09392,,3
K09677,,0
K10130,,0
K10168,,0
K10372,,0
K10410,,0
K10629,,0
K10761,,95
K10773,,65
K11364,,1
K11548,,1
K12360,,0
K12848,,76
K13152,,0
K13754,,2
K14294,,0
K14351,,0
K14525,,0
K14822,,1
K14993,,80
K15031,,0
K15299,,0
K15362,,0
K15621,,0
K15734,,208
K00226,,56
K00336,,23
K00817,,154
K00861,,1
K00893,,78
K00973,,0
K01158,,1
K01194,,0
K01546,,142
K01547,,13
K01638,,4
K01745,,25
K01755,,330
K02015,,596
K02129,,3
K02206,,0
K02357,,0
K02520,,412
K02541,,4
K02622,,166
K03020,,0
K03022,,0
K03111,,147
K03406,,173
K04228,,660
K04243,,0
K04305,,0
K04661,,0
K04937,,0
K05031,,0
K05197,,0
K05226,,0
K05457,,0
K05681,,0
K05855,,0
K06213,,8
K06266,,0
K06626,,2
K06676,,1
K06794,,0
K06795,,0
K06975,,26
K07048,,162
K07090,,182
K07245,,0
K07391,,72
K07478,,224
K07595,,0
K07614,,0
K07908,,0
K07914,,0
K08116,,0
K08200,,0
K08218,,0
K08300,,17
K08417,,0
K08427,,0
K08458,,0
K08460,,76
K08531,,0
K08532,,82
K08558,,3
K08635,,0
K08743,,107
K08793,,0
K08839,,35
K08863,,1
K08866,,98
K09047,,0
K09314,,0
K09334,,0
K09339,,0
K09523,,3
K09604,,2
K09665,,0
K09852,,0
K10278,,0
K10390,,0
K10454,,0
K10809,,0
K10889,,1
K11270,,1
K11479,,2
K11500,,0
K11580,,0
K11725,,0
K11989,,0
K12326,,0
K12401,,0
K12606,,4
K13115,,0
K13197,,0
K13701,,0
K13821,,552
K13997,,1
K14285,,0
K14527,,0
K14823,,4
K14864,,92
K15025,,1
K15288,,0
K15426,,0
K00052,,211
K00490,,42
K00540,,201
K00546,,0
K00549,,89
K00611,,183
K00943,,2
K00953,,1
K01142,,1
K01154,,138
K01276,,4
K01348,,1
K01409,,293
K01426,,93
K01465,,203
K01489,,137
K01534,,370
K01639,,0
K01750,,15
K01855,,2
K02159,,0
K02195,,0
K02274,,46
K02575,,167
K02603,,108
K03070,,604
K03239,,0
K03336,,161
K03524,,0
K03629,,29
K03635,,0
K03688,,0
K03750,,153
K03801,,0
K03860,,0
K03941,,0
K03962,,0
K04119,,0
K04234,,0
K04375,,0
K04386,,14
K04729,,0
K04807,,0
K04815,,0
K04887,,0
K04942,,0
K05081,,0
K05103,,2
K05164,,0
K05213,,0
K05349,,8
K05466,,0
K05612,,0
K05678,,0
K05870,,1
K06127,,0
K06133,,247
K06200,,0
K07415,,3
K07613,,0
K07622,,0
K07779,,0
K07788,,9
K07854,,1
K07923,,0
K08034,,1
K08121,,0
K08181,,0
K08665,,0
K09026,,0
K09056,,0
K09191,,2
K09535,,3
K10054,,1
K10223,,0
K10272,,0
K10324,,0
K10338,,0
K10439,,117
K10734,,0
K10874,,0
K11088,,10
K11214,,0
K11316,,3
K11353,,2
K11491,,1
K11514,,1
K11564,,0
K11659,,7
K11669,,0
K11754,,2
K12006,,2
K12042,,0
K12386,,91
K12622,,2
K12623,,2
K12794,,0
K12861,,2
K13173,,0
K13273,,0
K13348,,0
K13360,,0
K13598,,20
K13649,,0
K13667,,0
K13878,,0
K14021,,3
K14210,,0
K14590,,64
K14738,,0
K14782,,2
K14785,,0
K14790,,0
K14855,,57
K14973,,81
K15152,,46
K15225,,0
K15264,,3
K15626,,3
K15738,,0
K00133,,298
K00372,,0
K00425,,83
K00970,,271
K01050,,209
K01331,,3
K01491,,257
K01652,,770
K01955,,159
K02032,,212
K02168,,83
K02316,,325
K02321,,1
K02373,,0
K02412,,0
K03325,,0
K03512,,0
K03539,,0
K03823,,130
K03841,,99
K04066,,256
K04139,,0
K04142,,0
K04321,,0
K04418,,109
K04664,,0
K04808,,0
K04825,,3
K04856,,0
K04934,,0
K04944,,0
K05004,,101
K05205,,0
K05366,,189
K05411,,0
K05624,,0
K06126,,0
K06645,,105
K06662,,2
K06998,,214
K07205,,32
K07826,,0
K07911,,0
K07925,,0
K08065,,0
K08149,,0
K08186,,0
K08433,,0
K08859,,0
K09008,,0
K09086,,0
K09399,,0
K10274,,0
K10281,,1
K10563,,113
K10638,,145
K10727,,0
K10733,,1
K10745,,3
K10766,,0
K10863,,0
K11263,,0
K12044,,1
K12195,,0
K12333,,4
K12376,,0
K12465,,6
K13038,,4
K13134,,1
K13202,,1
K13881,,0
K13882,,0
K14382,,0
K14560,,0
K14621,,0
K14736,,305
K14859,,1
K15111,,0
K15197,,0
K15214,,0
K15281,,1
K15310,,0
K15464,,2
K00103,,0
K00154,,0
K00174,,284
K00254,,0
K00518,,11
K00571,,0
K00812,,199
K00937,,168
K00954,,141
K00955,,123
K01107,,0
K01113,,3
K01125,,1
K01173,,0
K01256,,400
K01493,,1
K01506,,1
K01858,,0
K01998,,56
K02013,,0
K02030,,538
K02048,,0
K02050,,179
K02087,,3
K02109,,0
K02178,,1
K02433,,125
K02685,,0
K02783,,0
K03538,,1
K03684,,46
K03705,,286
K03945,,0
K03958,,0
K03978,,0
K04266,,0
K04303,,0
K04383,,3
K04566,,12
K04824,,0
K04884,,0
K04900,,0
K05000,,0
K05032,,0
K05169,,0
K05202,,0
K05595,,0
K05745,,2
K06125,,0
K06556,,0
K06574,,0
K06758,,0
K06813,,0
K08002,,0
K08834,,0
K09084,,0
K09210,,0
K09331,,1
K09444,,0
K09579,,0
K09662,,0
K10182,,0
K10183,,0
K10331,,0
K10489,,0
K10688,,1
K10790,,1
K10791,,0
K11513,,1
K11546,,0
K11663,,0
K12357,,0
K12363,,0
K12589,,0
K12895,,7
K13108,,2
K13124,,0
K13335,,0
K13720,,0
K14343,,99
K14683,,0
K15295,,0
K15323,,88
K15450,,0
K15705,,0
K00102,,0
K00241,,0
K00266,,133
K00325,,110
K00370,,0
K00469,,103
K00554,,279
K00625,,0
K00637,,2
K00647,,98
K00733,,0
K01255,,41
K01285,,0
K01313,,0
K01462,,112
K01495,,99
K01690,,5
K01763,,0
K01775,,231
K01830,,0
K02038,,73
K02071,,0
K02224,,326
K02230,,25
K02238,,156
K02406,,0
K02440,,120
K02620,,0
K02961,,53
K02982,,0
K02990,,12
K03027,,2
K03086,,198
K03171,,0
K03199,,273
K03295,,2
K03363,,3
K03457,,0
K03578,,393
K03588,,0
K03724,,176
K04163,,0
K04294,,0
K04318,,0
K04482,,1
K04819,,0
K04999,,0
K06085,,1
K06801,,0
K07366,,0
K07462,,240
K07512,,0
K07603,,30
K07632,,0
K07712,,219
K07838,,0
K07885,,1
K07950,,0
K07984,,0
K08063,,0
K08145,,0
K08151,,235
K08448,,0
K08741,,0
K08797,,0
K09033,,1
K09055,,0
K09068,,0
K09279,,90
K09421,,1
K09446,,0
K09458,,17
K09564,,106
K09676,,0
K10292,,0
K10337,,0
K10363,,7
K10400,,0
K10405,,71
K10441,,207
K10736,,3
K10737,,0
K10746,,0
K10772,,10
K11223,,1
K11278,,1
K11342,,7
K11345,,67
K11502,,1
K12161,,0
K12272,,3
K12464,,8
K12620,,100
K13149,,0
K13355,,1
K13705,,0
K13775,,0
K14390,,0
K14737,,0
K14764,,0
K15135,,0
K15139,,0
K15278,,0
K15611,,2
K00013,,113
K00259,,9
K00333,,184
K00362,,23
K00381,,18
K00433,,0
K00497,,0
K00632,,157
K00758,,215
K01017,,1
K01246,,58
K01657,,24
K01687,,64
K01752,,162
K01924,,191
K01971,,164
K02004,,285
K02039,,3
K02055,,204
K02219,,0
K02260,,2
K02342,,3
K02529,,118
K02608,,0
K02823,,0
K02884,,0
K03076,,58
K03100,,30
K03309,,51
K03375,,0
K03477,,2
K03505,,1
K03587,,451
K03669,,87
K03686,,172
K03737,,19
K03875,,0
K03916,,0
K03929,,0
K03998,,0
K04169,,0
K04247,,0
K04263,,0
K04415,,0
K04605,,0
K04721,,0
K04732,,7
K04804,,1
K04881,,0
K04898,,0
K04913,,108
K04949,,0
K04954,,0
K04968,,0
K05090,,88
K05132,,90
K05143,,0
K05307,,1
K05367,,65
K05443,,0
K05460,,1
K05559,,3
K05661,,0
K05697,,0
K05867,,0
K06124,,0
K06248,,0
K06443,,0
K06569,,0
K06628,,0
K06755,,0
K06853,,0
K06991,,1
K06994,,141
K07024,,0
K07277,,249
K07335,,204
K07886,,0
K07922,,0
K07964,,1
K08027,,1
K08041,,5
K08147,,0
K08380,,0
K08434,,0
K08447,,0
K08467,,0
K08514,,0
K08575,,3
K08744,,0
K08757,,11
K09014,,86
K09256,,0
K09298,,0
K09529,,1
K09635,,0
K09647,,0
K09962,,0
K10137,,0
K10145,,1
K10160,,0
K10318,,0
K10348,,0
K10351,,0
K10433,,94
K10584,,0
K10669,,0
K10683,,0
K10845,,1
K10871,,0
K10905,,0
K11001,,0
K11222,,199
K11469,,0
K11547,,2
K11550,,0
K11667,,0
K11995,,2
K12345,,77
K12624,,92
K13241,,0
K13375,,1
K13703,,0
K14019,,3
K14078,,0
K14079,,1
K14562,,3
K14652,,271
K14942,,1
K15045,,0
K15211,,1
K15461,,0
K15592,,0
K15599,,0
K15788,,0
K00010,,0
K00024,,158
K00124,,0
K00147,,0
K00289,,158
K00302,,0
K00545,,73
K00778,,95
K00800,,81
K00806,,116
K00859,,111
K00865,,0
K00949,,0
K00976,,0
K01181,,0
K01223,,0
K01370,,2
K01434,,16
K01589,,391
K01662,,105
K01665,,56
K01704,,46
K01736,,5
K02023,,168
K02031,,47
K02111,,615
K02193,,0
K02314,,346
K02349,,86
K02434,,223
K02825,,89
K02931,,62
K02950,,0
K03293,,144
K03320,,102
K03357,,0
K03434,,0
K03495,,146
K03545,,101
K03656,,83
K03798,,94
K03905,,0
K04140,,0
K04204,,0
K04218,,0
K04219,,0
K04229,,0
K04267,,0
K04300,,0
K04397,,0
K04543,,0
K04560,,0
K04604,,0
K04731,,0
K04906,,0
K05025,,109
K05035,,0
K05055,,11
K05114,,0
K05271,,0
K05506,,2
K05679,,1
K05847,,0
K06178,,0
K06264,,0
K06520,,0
K06765,,0
K06792,,0
K06888,,101
K07116,,0
K07137,,0
K07248,,0
K07431,,0
K07965,,0
K08062,,0
K08203,,1
K08377,,0
K08470,,0
K08817,,75
K08900,,0
K09282,,3
K09390,,1
